sku,product_name,chemistry,package_size,freight_class,nmfc_code,is_hazmat_YN,un_number,proper_shipping_name,hazard_class,packing_group,unit_weight_lb,units_per_pallet,pallet_weight_lb,pallet_length_in,pallet_width_in,pallet_height_in,default_accessorials,notes
EG-WB03,Epo-Guard Waterbased Epoxy,epoxy,2.5 Gal,,,,,,,,,,,,,,,
EG-MPE01,Epo-Guard Multi-Purpose 100% Solids Epoxy,epoxy,3 Gal,,,,,,,,,,,,,,,
EG-MPE01,Epo-Guard Multi-Purpose 100% Solids Epoxy,epoxy,15 Gal,,,,,,,,,,,,,,,
EG-MPE01,Epo-Guard Multi-Purpose 100% Solids Epoxy,epoxy,165 Gal,,,,,,,,,,,,,,,
EG-MPE01-F,Epo-Guard Multi-Purpose 100% Solids Epoxy - Fast,epoxy,3 Gal,,,,,,,,,,,,,,,
EG-MPE01-F,Epo-Guard Multi-Purpose 100% Solids Epoxy - Fast,epoxy,15 Gal,,,,,,,,,,,,,,,
EG-MPE01-F,Epo-Guard Multi-Purpose 100% Solids Epoxy - Fast,epoxy,165 Gal,,,,,,,,,,,,,,,
EG-UVE41,Epo-Guard UV Resistant 100% Solids Epoxy,epoxy,3 Gal,,,,,,,,,,,,,,,
EG-UVE41,Epo-Guard UV Resistant 100% Solids Epoxy,epoxy,15 Gal,,,,,,,,,,,,,,,
EG-UVE41,Epo-Guard UV Resistant 100% Solids Epoxy,epoxy,165 Gal,,,,,,,,,,,,,,,
EG-MVS99,Epo-Guard Moisture Vapor Suppression Epoxy,epoxy,3 Gal,,,,,,,,,,,,,,,
EG-MVS99,Epo-Guard Moisture Vapor Suppression Epoxy,epoxy,15 Gal,,,,,,,,,,,,,,,
EG-11TDK,Epo-Guard Epoxy Mortar Patch Kit,epoxy,1 mix kit,,,,,,,,,,,,,,,
EG-31CV,Epo-Guard Cove Gel Kit,epoxy,0.75 Gal + Ag,,,,,,,,,,,,,,,
PG-61,Poly-Guard 85% Polyaspartic - Slow,polyaspartic,2.5 Gal,,,,,,,,,,,,,,,
PG-61,Poly-Guard 85% Polyaspartic - Slow,polyaspartic,5 Gal,,,,,,,,,,,,,,,
PG-61,Poly-Guard 85% Polyaspartic - Slow,polyaspartic,10 Gal,,,,,,,,,,,,,,,
PG-71,Poly-Guard 85% Polyaspartic - Medium,polyaspartic,2.5 Gal,,,,,,,,,,,,,,,
PG-71,Poly-Guard 85% Polyaspartic - Medium,polyaspartic,5 Gal,,,,,,,,,,,,,,,
PG-71,Poly-Guard 85% Polyaspartic - Medium,polyaspartic,10 Gal,,,,,,,,,,,,,,,
PG-81,Poly-Guard 85% Polyaspartic - Fast,polyaspartic,2.5 Gal,,,,,,,,,,,,,,,
PG-81,Poly-Guard 85% Polyaspartic - Fast,polyaspartic,5 Gal,,,,,,,,,,,,,,,
PG-81,Poly-Guard 85% Polyaspartic - Fast,polyaspartic,10 Gal,,,,,,,,,,,,,,,
PS-91,Poly-Guard 100% Solids Polyscapes Resin,polyaspartic,3 Gal,,,,,,,,,,,,,,,
PU-20,Poly-Bond 100% Solids Polyurea (Pigmented),polyurea,3 Gal,,,,,,,,,,,,,,,
PU-21,Poly-Bond 100% Solids Polyurea (Clear),polyurea,3 Gal,,,,,,,,,,,,,,,
UG-21,Ure-Guard Waterbased Urethane - Gloss,urethane,2 Gal,,,,,,,,,,,,,,,
UG-31,Ure-Guard Waterbased Urethane - Satin,urethane,2 Gal,,,,,,,,,,,,,,,
UG-51,Ure-Guard High Wear Urethane - Gloss,urethane,1 Gal,,,,,,,,,,,,,,,
UG-55,Ure-Guard High Wear Urethane - Matte,urethane,1 Gal,,,,,,,,,,,,,,,
U-91,Ure-Shield 100% Solids Urescapes Resin,urethane,3 Gal,,,,,,,,,,,,,,,
EP-15,Epo-Patch 100% Solids Epoxy Paste,epoxy,0.5 Gal kit,,,,,,,,,,,,,,,
PP-16,Poly-Patch Fast Set Poly-Patch,polyaspartic,2 Gal kit,,,,,,,,,,,,,,,
